id,topic,category,keywords,adviceText,importance
skill-java,Java,technical,java|core java|j2ee|java 8|java 11,Master Core Java concepts including Streams API and Concurrency. Build projects using Spring Boot. Note: Core Java mastery confirms Java competency.,High
skill-python,Python,technical,python|python3|django|flask,Practice Python scripting and data structures. Build web apps with Django or Flask.,High
skill-c,C,technical,c|c language|embedded c,Focus on pointers and memory management. Understand low-level system interactions.,High
skill-cpp,C++,technical,c++|cpp|stl,Master OOP concepts in C++ and the Standard Template Library (STL).,High
skill-csharp,C#,technical,c#|csharp|.net,Learn .NET ecosystem and standard libraries. Build Windows or Web apps.,High
skill-javascript,JavaScript,technical,javascript|js|es6|es2015,Master ES6+ features, closures, and async programming (Promises, Async/Await).,High
skill-typescript,TypeScript,technical,typescript|ts,Learn static typing and interfaces. Migrate a small JS project to TS.,High
skill-kotlin,Kotlin,technical,kotlin|android,Learn Kotlin syntax and Coroutines. Excellent for modern Android development.,High
skill-swift,Swift,technical,swift|ios,Master Swift syntax and iOS SDK. Build a simple iOS application.,High
skill-go,Go,technical,go|golang,Focus on concurrency (Goroutines) and building performant backend services.,High
skill-rust,Rust,technical,rust|rustlang,Understand ownership and borrowing concepts. Great for systems programming.,High
skill-php,PHP,technical,php|laravel,Learn modern PHP 8+ features and a framework like Laravel or Symfony.,High
skill-ruby,Ruby,technical,ruby|rails,Learn Ruby syntax and Ruby on Rails framework for rapid web development.,High
skill-scala,Scala,technical,scala|akka|spark,Master functional programming concepts and Akka for concurrency.,High
skill-r,R,technical,r|r language|statistics,Focus on statistical analysis and data visualization packages like ggplot2.,High
skill-matlab,MATLAB,technical,matlab,Useful for numerical computing and algorithm development in engineering.,High
skill-dart,Dart,technical,dart|flutter,Learn Dart for building cross-platform mobile apps with Flutter.,High
skill-perl,Perl,technical,perl|scripting,Useful for legacy system maintenance and text processing scripts.,High
skill-groovy,Groovy,technical,groovy|jenkins pipeline,Often used in Jenkins pipelines and Gradle scripts.,High
skill-objective-c,Objective-C,technical,objective-c|objective c,Legacy iOS development. Useful for maintaining older codebases.,High
skill-data-structures,Data Structures,technical,data structures|dsa|hashing|trees|graphs,Master Arrays, Linked Lists, Trees, and Graphs. Practice on LeetCode/HackerRank. Note: DSA or Algorithms proficiency proves Data Structures knowledge.,High
skill-algorithms,Algorithms,technical,algorithms|sorting|searching|dsa,Understand complexity (Big O) and master sorting/searching algorithms. Note: DSA or Data Structures proficiency proves Algorithms knowledge.,High
skill-oop,Object Oriented Programming,technical,oop|oops|object oriented|object-oriented|object-oriented programming|classes|inheritance,Master Encapsulation, Inheritance, Polymorphism, and Abstraction. Note: OOPS and Object-Oriented Programming are equivalent.,High
skill-functional-programming,Functional Programming,technical,functional programming|lambda|pure functions,Learn immutability and pure functions. useful for modern JS/Java streams.,High
skill-procedural-programming,Procedural Programming,technical,procedural programming,Understand modular code structure and function-based design.,High
skill-design-patterns,Design Patterns,technical,design patterns|singleton|factory|observer,Learn Singleton, Factory, and Observer patterns to write maintainable code.,High
skill-multithreading,Multithreading,technical,multithreading|concurrency|threads,Understand thread lifecycles and synchronization. Critical for performance.,High
skill-concurrency,Concurrency,technical,concurrency|parallel processing,Learn to manage concurrent tasks efficiently without deadlocks.,High
skill-memory-management,Memory Management,technical,memory management|garbage collection,Understand heap vs stack and how your language handles memory.,High
skill-exception-handling,Exception Handling,technical,exception handling|try catch,Write robust code by handling errors gracefully using try-catch blocks.,High
skill-collections,Collections,technical,collections|list|map|set,Master your language's collection framework (e.g., Java Collections).,High
