id,topic,category,keywords,adviceText
iq-00001,Java Interview Question: HashMap vs Hashtable,interview-question,java|hashmap|hashtable,HashMap is non-synchronized and allows null keys while Hashtable is synchronized and does not allow nulls.
iq-00002,Java Interview Question: final keyword,interview-question,java|final|keyword,Final is used to restrict modification for variables methods and classes.
iq-00003,Java Interview Question: JVM vs JRE vs JDK,interview-question,java|jvm|jre|jdk,JVM runs bytecode JRE provides libraries and JDK provides development tools.
iq-00004,Java Interview Question: OOP principles,interview-question,java|oops|concepts,The four OOP principles are encapsulation inheritance polymorphism and abstraction.
iq-00005,Java Interview Question: Exception handling,interview-question,java|exception|try-catch,Use try catch blocks to handle runtime errors gracefully.
iq-00006,Java Interview Question: Array vs ArrayList,interview-question,java|array|arraylist,Array is fixed size while ArrayList is dynamic.
iq-00007,Java Interview Question: String vs StringBuilder,interview-question,java|string|stringbuilder,String is immutable while StringBuilder is mutable and faster.
iq-00008,Java Interview Question: Interface vs Abstract class,interview-question,java|interface|abstract,Interfaces support multiple inheritance while abstract classes do not.
iq-00009,Java Interview Question: Multithreading,interview-question,java|threads|concurrency,Multithreading allows concurrent execution of tasks.
iq-00010,Java Interview Question: Garbage Collection,interview-question,java|gc|memory,Garbage collection automatically frees unused memory.

iq-00011,Java Interview Question: equals vs hashCode,interview-question,java|equals|hashcode,equals checks logical equality while hashCode supports hashing.
iq-00012,Java Interview Question: Checked vs Unchecked Exception,interview-question,java|exceptions,Checked exceptions are compile-time unchecked are runtime.
iq-00013,Java Interview Question: Static keyword,interview-question,java|static,Static members belong to class not object.
iq-00014,Java Interview Question: Serialization,interview-question,java|serialization,Serialization converts object into byte stream.
iq-00015,Java Interview Question: Volatile keyword,interview-question,java|volatile,Volatile ensures visibility across threads.
iq-00016,Java Interview Question: Singleton pattern,interview-question,java|design pattern|singleton,Singleton ensures only one instance exists.
iq-00017,Java Interview Question: Stream API,interview-question,java|stream|lambda,Streams support functional-style operations.
iq-00018,Java Interview Question: Lambda expression,interview-question,java|lambda,Lambda provides concise implementation of interfaces.
iq-00019,Java Interview Question: Comparator vs Comparable,interview-question,java|comparator|comparable,Comparable defines natural ordering Comparator custom ordering.
iq-00020,Java Interview Question: ConcurrentHashMap,interview-question,java|concurrency,ConcurrentHashMap is thread-safe and efficient.

iq-00021,Python Interview Question: List vs Tuple,interview-question,python|list|tuple,Lists are mutable while tuples are immutable.
iq-00022,Python Interview Question: GIL,interview-question,python|gil|threading,GIL prevents parallel thread execution.
iq-00023,Python Interview Question: Decorators,interview-question,python|decorators,Decorators modify function behavior.
iq-00024,Python Interview Question: Lambda functions,interview-question,python|lambda,Lambda functions are anonymous functions.
iq-00025,Python Interview Question: Dictionary,interview-question,python|dict,Dictionaries store key value pairs.
iq-00026,Python Interview Question: List comprehension,interview-question,python|list comprehension,List comprehension provides concise loops.
iq-00027,Python Interview Question: Mutable vs Immutable,interview-question,python|mutable|immutable,Mutable objects can change immutable cannot.
iq-00028,Python Interview Question: Exception handling,interview-question,python|exceptions,Use try except to handle errors.
iq-00029,Python Interview Question: Virtual environment,interview-question,python|venv,Virtual env isolates dependencies.
iq-00030,Python Interview Question: PIP,interview-question,python|pip,PIP installs Python packages.

iq-00031,SQL Interview Question: INNER JOIN,interview-question,sql|join|inner,INNER JOIN returns matching rows.
iq-00032,SQL Interview Question: LEFT JOIN,interview-question,sql|join|left,LEFT JOIN returns all left rows.
iq-00033,SQL Interview Question: RIGHT JOIN,interview-question,sql|join|right,RIGHT JOIN returns all right rows.
iq-00034,SQL Interview Question: FULL JOIN,interview-question,sql|join|full,FULL JOIN returns all rows.
iq-00035,SQL Interview Question: Normalization,interview-question,sql|normalization,Normalization reduces redundancy.
iq-00036,SQL Interview Question: Index,interview-question,sql|index,Index improves performance.
iq-00037,SQL Interview Question: Primary Key,interview-question,sql|primary key,Primary key uniquely identifies record.
iq-00038,SQL Interview Question: Foreign Key,interview-question,sql|foreign key,Foreign key links tables.
iq-00039,SQL Interview Question: ACID properties,interview-question,sql|acid,ACID ensures reliable transactions.
iq-00040,SQL Interview Question: GROUP BY,interview-question,sql|group by,GROUP BY aggregates data.

iq-00041,HR Interview Question: Strengths,interview-question,hr|strengths,Highlight strengths with examples.
iq-00042,HR Interview Question: Weakness,interview-question,hr|weakness,Mention weakness with improvement.
iq-00043,HR Interview Question: Why should we hire you,interview-question,hr|why hire,Align skills with role.
iq-00044,HR Interview Question: Career goals,interview-question,hr|career goals,Explain realistic goals.
iq-00045,HR Interview Question: Teamwork,interview-question,hr|teamwork,Show collaboration skills.
iq-00046,HR Interview Question: Conflict handling,interview-question,hr|conflict,Explain calm resolution.
iq-00047,HR Interview Question: Leadership,interview-question,hr|leadership,Demonstrate initiative.
iq-00048,HR Interview Question: Time management,interview-question,hr|time management,Explain prioritization.
iq-00049,HR Interview Question: Stress handling,interview-question,hr|stress,Discuss coping strategies.
iq-00050,HR Interview Question: Failure,interview-question,hr|failure,Explain lessons learned.

da-01,Excel: VLOOKUP,interview-question,excel|lookup,Searches vertically.
da-02,Excel: HLOOKUP,interview-question,excel|lookup,Searches horizontally.
da-03,Excel: Pivot Table,interview-question,excel|pivot,Summarizes data.
da-04,Excel: Conditional Formatting,interview-question,excel|format,Highlights data.
da-05,Excel: COUNTIF,interview-question,excel|countif,Counts conditionally.
da-06,Excel: IF Function,interview-question,excel|if,Logical evaluation.
da-07,Excel: Charts,interview-question,excel|charts,Visualize data.
da-08,Power BI: Dashboard,interview-question,powerbi|dashboard,Interactive visuals.
da-09,Power BI: DAX,interview-question,powerbi|dax,Data analysis expressions.
da-10,Power BI: Data Model,interview-question,powerbi|model,Relationships setup.
da-11,Power BI: Power Query,interview-question,powerbi|query,Data cleaning.
da-12,Power BI: Measures,interview-question,powerbi|measures,Calculated fields.
da-13,Power BI: Reports,interview-question,powerbi|reports,Visual representation.
da-14,Data Analysis: KPI,interview-question,data|kpi,Key performance indicators.
da-15,Data Analysis: ETL,interview-question,data|etl,Extract transform load.
da-16,Data Analysis: Cleaning,interview-question,data|cleaning,Fix missing data.
da-17,Data Analysis: Trends,interview-question,data|trends,Identify patterns.
da-18,Data Analysis: Visualization,interview-question,data|visualization,Graphical insights.
da-19,Data Analysis: Descriptive Stats,interview-question,data|statistics,Mean median mode.
da-20,Data Analysis: Reporting,interview-question,data|reporting,Present findings.

hr-01,HR: Strengths,interview-question,hr|strengths,Match strengths to role.
hr-02,HR: Weakness,interview-question,hr|weakness,Show improvement steps.
